/home/oferb/.virtualenvs/opentrain/local/lib/python2.7/site-packages/numpy/oldnumeric/__init__.py:11: ModuleDeprecationWarning: The oldnumeric module will be dropped in Numpy 1.9
  warnings.warn(_msg, ModuleDeprecationWarning)

08:06:06 ['Rehovot 1', 'Rehovot 2', 'Rehovot 3']
08:06:11 ['Rehovot 2', 'Rehovot 3']
08:06:15 ['Rehovot 2', 'Rehovot 3']
08:06:21 ['Rehovot 1', 'Rehovot 3']
08:06:26 ['Rehovot 1', 'Rehovot 3']
08:06:30 ['Rehovot 1', 'Rehovot 3']
08:06:36 ['Rehovot 1', 'Rehovot 3']
08:06:42 ['Rehovot 1', 'Rehovot 3']
08:06:45 ['Rehovot 1', 'Rehovot 3']
08:06:52 ['Rehovot 1', 'Rehovot 3']
08:06:57 ['Rehovot 1', 'Rehovot 3']
08:07:00 ['Rehovot 1', 'Rehovot 3']
08:07:07 ['Rehovot 1', 'Rehovot 3']
08:07:12 ['Rehovot 1', 'Rehovot 3']
08:07:15 ['Rehovot 1', 'Rehovot 3']
08:07:22 ['Rehovot 1', 'Rehovot 3']
08:07:27 ['Rehovot 1', 'Rehovot 3']
08:07:30 ['Rehovot 1', 'Rehovot 3']
08:07:38 ['Rehovot 1', 'Rehovot 3']
08:07:43 ['Rehovot 1', 'Rehovot 3']
08:07:45 ['Rehovot 1', 'Rehovot 3']
08:07:53 ['Rehovot 1', 'Rehovot 2', 'Rehovot 3']
08:07:58 ['Rehovot 1', 'Rehovot 2', 'Rehovot 3']
08:08:01 ['Rehovot 1', 'Rehovot 2', 'Rehovot 3']
08:08:08 ['Rehovot 1', 'Rehovot 2', 'Rehovot 3']
08:08:13 ['Rehovot 1', 'Rehovot 2', 'Rehovot 3']
08:08:16 ['Rehovot 1', 'Rehovot 2', 'Rehovot 3']
08:08:24 ['Rehovot 1', 'Rehovot 2', 'Rehovot 3']
08:08:29 ['Rehovot 1', 'Rehovot 2', 'Rehovot 3']
08:08:34 ['Rehovot 1', 'Rehovot 3']
08:08:39 ['Rehovot 1', 'Rehovot 3']
08:08:44 ['Rehovot 1', 'Rehovot 3']
08:08:49 ['Rehovot 1', 'Rehovot 3']
08:08:53 ['Rehovot 1', 'Rehovot 3']
08:08:59 ['Rehovot 1', 'Rehovot 3']
08:09:04 ['Rehovot 1', 'Rehovot 3']
08:09:09 ['Rehovot 1', 'Rehovot 3']
08:09:14 ['Rehovot 1', 'Rehovot 3']
08:09:19 ['Rehovot 1', 'Rehovot 3']
08:09:25 ['Rehovot 1', 'Rehovot 3']
08:09:30 ['Rehovot 1', 'Rehovot 3']
08:09:35 ['Rehovot 3']
08:09:40 ['Rehovot 1', 'Rehovot 3']
08:09:45 ['Rehovot 1', 'Rehovot 3']
08:09:50 ['Rehovot 1', 'Rehovot 3']
08:09:55 ['Rehovot 1', 'Rehovot 3']
08:10:00 ['Rehovot 3']
08:10:05 ['Rehovot 1', 'Rehovot 3']
08:10:10 ['Rehovot 1', 'Rehovot 3']
08:10:15 ['Rehovot 1', 'Rehovot 3']
08:10:20 ['Rehovot 1', 'Rehovot 3']
08:10:25 ['Rehovot 1', 'Rehovot 3']
08:10:30 ['Rehovot 1', 'Rehovot 3']
08:10:36 ['Rehovot 1', 'Rehovot 3']
08:10:41 ['Rehovot 1', 'Rehovot 3']
08:10:45 ['Rehovot 1', 'Rehovot 3']
08:10:51 ['Rehovot 1', 'Rehovot 3']
08:10:56 ['Rehovot 1', 'Rehovot 3']
08:11:00 ['Rehovot 1', 'Rehovot 3']
08:11:06 ['Rehovot 1', 'Rehovot 3']
08:11:11 ['Rehovot 1', 'Rehovot 3']
08:11:15 ['Rehovot 1', 'Rehovot 3']
08:11:21 ['Rehovot 1', 'Rehovot 3']
08:11:26 ['Rehovot 1', 'Rehovot 3']
08:11:30 ['Rehovot 1', 'Rehovot 3']
08:11:37 ['Rehovot 1', 'Rehovot 3']
08:11:42 ['Rehovot 1', 'Rehovot 3']
08:11:45 ['Rehovot 1', 'Rehovot 3']
08:11:52 ['Rehovot 1', 'Rehovot 3']
08:11:57 ['Rehovot 1', 'Rehovot 3']
08:12:00 ['Rehovot 1', 'Rehovot 3']
08:12:07 ['Rehovot 1', 'Rehovot 3']
08:12:12 ['Rehovot 1', 'Rehovot 3']
08:12:15 ['Rehovot 1', 'Rehovot 3']
08:12:22 ['Rehovot 1', 'Rehovot 3']
