stop_id1,stop_name1,stop_id2,stop_name2,num_results,distance1,aerial_distance1,distance2,aerial_distance2
300,מודיעין,400,פאתי מודיעין,1,4831,4322,,
300,מודיעין,700,קריית חיים,1,131591,103936,,
300,מודיעין,800,קריית מוצקין,1,132645,104894,,
300,מודיעין,1220,לב המפרץ,1,127196,100294,,
300,מודיעין,1300,חוצות המפרץ,1,129628,102145,,
300,מודיעין,1500,עכו,1,144131,115543,,
300,מודיעין,1600,נהריה,1,153029,124174,,
300,מודיעין,2100,חיפה מרכז,1,121983,103243,,
300,מודיעין,2200,בת גלים,1,120274,104137,,
300,מודיעין,2300,חוף הכרמל,1,114194,99999,,
300,מודיעין,2500,עתלית,1,102869,88835,,
300,מודיעין,2800,בנימינה,1,82255,68996,,
300,מודיעין,2820,קיסריה,1,78996,65756,,
300,מודיעין,3100,חדרה מערב,1,71264,60789,,
300,מודיעין,3300,נתניה,1,57498,48157,,
300,מודיעין,3400,בית יהושע,1,51008,42067,,
300,מודיעין,3500,הרצליה,1,39340,32878,,
300,מודיעין,3600,אוניברסיטה,1,32384,27589,,
300,מודיעין,3700,"ת""א מרכז",1,30097,26101,,
300,מודיעין,4600,"ת""א השלום",1,28819,25474,,
300,מודיעין,4900,ההגנה,1,26457,24356,,
300,מודיעין,8600,"נתב""ג",1,15547,14618,,
400,פאתי מודיעין,700,קריית חיים,1,136423,102791,,
400,פאתי מודיעין,800,קריית מוצקין,1,137476,103731,,
400,פאתי מודיעין,1220,לב המפרץ,1,132027,99245,,
400,פאתי מודיעין,1300,חוצות המפרץ,1,134459,101032,,
400,פאתי מודיעין,1500,עכו,1,148962,114366,,
400,פאתי מודיעין,1600,נהריה,1,157860,122972,,
400,פאתי מודיעין,2100,חיפה מרכז,1,126814,102353,,
400,פאתי מודיעין,2200,בת גלים,1,125105,103305,,
400,פאתי מודיעין,2300,חוף הכרמל,1,119025,99265,,
400,פאתי מודיעין,2500,עתלית,1,107701,88191,,
400,פאתי מודיעין,2800,בנימינה,1,87087,68353,,
400,פאתי מודיעין,2820,קיסריה,1,83827,65098,,
400,פאתי מודיעין,3100,חדרה מערב,1,76096,60510,,
400,פאתי מודיעין,3300,נתניה,1,62329,48284,,
400,פאתי מודיעין,3400,בית יהושע,1,55840,42426,,
400,פאתי מודיעין,3500,הרצליה,1,44172,34102,,
